Source Entity,Source Column,Target Entity,Relationship Type,Description (AR)
BenefitPolicyRule,benefitPolicy,BenefitPolicy,ManyToOne,BenefitPolicyRule ينتمي إلى BenefitPolicy
BenefitPolicyRule,medicalCategory,MedicalCategory,ManyToOne,BenefitPolicyRule ينتمي إلى MedicalCategory
BenefitPolicyRule,medicalService,MedicalService,ManyToOne,BenefitPolicyRule ينتمي إلى MedicalService
BenefitPolicy,employerOrganization,Organization,ManyToOne,BenefitPolicy ينتمي إلى Organization
BenefitPolicy,insuranceOrganization,Organization,ManyToOne,BenefitPolicy ينتمي إلى Organization
BenefitPolicy,rules,BenefitPolicyRule,OneToMany,BenefitPolicy له عدة BenefitPolicyRule
ProviderContractPricingItem,contract,ProviderContract,ManyToOne,ProviderContractPricingItem ينتمي إلى ProviderContract
ProviderContractPricingItem,medicalService,MedicalService,ManyToOne,ProviderContractPricingItem ينتمي إلى MedicalService
ProviderContractPricingItem,medicalCategory,MedicalCategory,ManyToOne,ProviderContractPricingItem ينتمي إلى MedicalCategory
ProviderContract,provider,Provider,ManyToOne,ProviderContract ينتمي إلى Provider
ProviderContract,pricingItems,ProviderContractPricingItem,OneToMany,ProviderContract له عدة ProviderContractPricingItem
